ticker,year,avg_close_price,prev_year_price,yoy_growth_frac,yoy_growth_pct
AAPL,2017,35.0235461708262639,23.8787788368938809,0.466723,46.67
AAPL,2018,44.6959513708779315,35.0235461708262639,0.276169,27.62
AAPL,2019,49.9043501973889888,44.6959513708779315,0.116530,11.65
AAPL,2020,92.5335945571176382,49.9043501973889888,0.854219,85.42
AAPL,2021,137.7316145163650498,92.5335945571176382,0.488450,48.84
AAPL,2022,152.2032318240838930,137.7316145163650498,0.105071,10.51
AAPL,2023,170.3872846157270371,152.2032318240838930,0.119472,11.95
AAPL,2024,205.6039214644206446,170.3872846157270371,0.206686,20.67
AMZN,2017,48.4137809115102093,34.9878294278704930,0.383732,38.37
AMZN,2018,82.2036354855237255,48.4137809115102093,0.697939,69.79
AMZN,2019,89.4373095678904699,82.2036354855237255,0.087997,8.80
AMZN,2020,134.0502095279015108,89.4373095678904699,0.498818,49.88
AMZN,2021,167.2863291785830539,134.0502095279015108,0.247938,24.79
AMZN,2022,126.3180797622498282,167.2863291785830539,-0.244899,-24.49
AMZN,2023,121.2083203125000008,126.3180797622498282,-0.040452,-4.05
AMZN,2024,184.4507170901355512,121.2083203125000008,0.521766,52.18
BAC,2017,20.4198514313154076,12.5498930425502588,0.627094,62.71
BAC,2018,24.9390204101953490,20.4198514313154076,0.221313,22.13
BAC,2019,25.3015518766386329,24.9390204101953490,0.014537,1.45
BAC,2020,23.1031791098083345,25.3015518766386329,-0.086887,-8.69
BAC,2021,36.3169667447997652,23.1031791098083345,0.571947,57.19
BAC,2022,34.1496809173203501,36.3169667447997652,-0.059677,-5.97
BAC,2023,28.2925766523685245,34.1496809173203501,-0.171513,-17.15
BAC,2024,38.0105530107646725,28.2925766523685245,0.343481,34.35
CVX,2017,78.2903914873648788,67.3602478044199219,0.162264,16.23
CVX,2018,87.7974900298688965,78.2903914873648788,0.121434,12.14
CVX,2019,90.7751701931678334,87.7974900298688965,0.033915,3.39
CVX,2020,70.1590059409197373,90.7751701931678334,-0.227112,-22.71
CVX,2021,87.5467534555569199,70.1590059409197373,0.247833,24.78
CVX,2022,139.2515884420244920,87.5467534555569199,0.590597,59.06
CVX,2023,145.5160908636923560,139.2515884420244920,0.044987,4.50
CVX,2024,145.0305819166149283,145.5160908636923560,-0.003336,-0.33
F,2017,7.6254433024187880,7.7282589930046993,-0.013304,-1.33
F,2018,7.1698640402521268,7.6254433024187880,-0.059745,-5.97
F,2019,6.7835785420887700,7.1698640402521268,-0.053876,-5.39
F,2020,5.4157203248589848,6.7835785420887700,-0.201643,-20.16
F,2021,10.9202638022303947,5.4157203248589848,1.016401,101.64
F,2022,11.6379206209565621,10.9202638022303947,0.065718,6.57
F,2023,10.5168639457131139,11.6379206209565621,-0.096328,-9.63
F,2024,10.6562268543840593,10.5168639457131139,0.013251,1.33
JNJ,2017,103.0467477841920159,87.8855140738057644,0.172511,17.25
JNJ,2018,108.4909447115934439,103.0467477841920159,0.052832,5.28
JNJ,2019,113.0564956765629922,108.4909447115934439,0.042082,4.21
JNJ,2020,125.5794819003950683,113.0564956765629922,0.110768,11.08
JNJ,2021,146.1987878374796807,125.5794819003950683,0.164193,16.42
JNJ,2022,156.3345850726885848,146.1987878374796807,0.069329,6.93
JNJ,2023,149.3821212180348291,156.3345850726885848,-0.044472,-4.45
JNJ,2024,149.4816972737826983,149.3821212180348291,0.000667,0.07
JPM,2017,73.6667592377630686,51.2022526688841298,0.438741,43.87
JPM,2018,90.6800203993072134,73.6667592377630686,0.230949,23.09
JPM,2019,95.7453651836018940,90.6800203993072134,0.055860,5.59
JPM,2020,92.7107032106735107,95.7453651836018940,-0.031695,-3.17
JPM,2021,139.5885050211577926,92.7107032106735107,0.505635,50.56
JPM,2022,118.0221808737682365,139.5885050211577926,-0.154499,-15.45
JPM,2023,136.8305681719861865,118.0221808737682365,0.159363,15.94
JPM,2024,199.9702787960546448,136.8305681719861865,0.461444,46.14
MSFT,2017,65.6522371681181109,49.1547913336667391,0.335622,33.56
MSFT,2018,94.0378689544990630,65.6522371681181109,0.432364,43.24
MSFT,2019,123.1848266989334833,94.0378689544990630,0.309949,30.99
MSFT,2020,184.5444537422053706,123.1848266989334833,0.498110,49.81
MSFT,2021,266.2668638438262257,184.5444537422053706,0.442833,44.28
MSFT,2022,261.9660790423440965,266.2668638438262257,-0.016152,-1.62
MSFT,2023,308.4709843132471153,261.9660790423440965,0.177523,17.75
MSFT,2024,416.4994405035152969,308.4709843132471153,0.350206,35.02
PFE,2017,22.6458150718646772,21.0171601769974102,0.077492,7.75
PFE,2018,26.9946599462410026,22.6458150718646772,0.192037,19.20
PFE,2019,28.5497306232866849,26.9946599462410026,0.057607,5.76
PFE,2020,27.4387910208574462,28.5497306232866849,-0.038912,-3.89
PFE,2021,34.3653957639220721,27.4387910208574462,0.252438,25.24
PFE,2022,41.9496524843990527,34.3653957639220721,0.220695,22.07
PFE,2023,32.2590052691629497,41.9496524843990527,-0.231007,-23.10
PFE,2024,25.7767726579180877,32.2590052691629497,-0.200943,-20.09
T,2017,16.0537000840225452,15.3350965274084468,0.046860,4.69
T,2018,14.8839167161682532,16.0537000840225452,-0.072867,-7.29
T,2019,16.4700797063459205,14.8839167161682532,0.106569,10.66
T,2020,16.3176608197080596,16.4700797063459205,-0.009254,-0.93
T,2021,16.1450454530042327,16.3176608197080596,-0.010578,-1.06
T,2022,15.5041671369690749,16.1450454530042327,-0.039695,-3.97
T,2023,14.7268480952727175,15.5041671369690749,-0.050136,-5.01
