Date,Open,High,Low,Close,Volume,Ticker
2016-01-04,8.106607039167171,8.182588282967794,8.036470635057654,8.165054321289062,38618500,F
2016-01-05,8.165051853628066,8.182585810007645,7.896195440432038,8.01893424987793,50267500,F
2016-01-06,7.925420039822957,7.925420039822957,7.62733995802244,7.662407875061035,61285500,F
2016-01-07,7.53966828885596,7.621494349336091,7.364327606589794,7.422774314880371,57846700,F
2016-01-08,7.627340946543221,7.656564586125828,7.305882025923667,7.32926082611084,46199400,F
2016-01-11,7.481221854117377,7.492910973245133,7.335104241956469,7.463687896728516,41269100,F
2016-01-12,7.6156494144941105,7.621494252467211,7.352637837043292,7.510445117950439,50983700,F
2016-01-13,7.440308103827408,7.504600206109834,7.048713439189396,7.130538940429688,102174700,F
2016-01-14,7.124694347381592,7.194831289990113,6.908440353622903,7.124694347381592,62938600,F
2016-01-15,6.902593858503892,7.013642960118967,6.7681654119232615,6.996109008789063,69030000,F
2016-01-19,7.101315223142755,7.10716006098828,6.908440033395776,6.984421253204346,41142600,F
2016-01-20,6.890905320396283,7.054556860335514,6.703874989037162,6.955196857452393,59879000,F
2016-01-21,7.019490718841553,7.177297461300167,6.931819810902772,7.019490718841553,48841800,F
2016-01-22,7.165606323796364,7.2240530219048,7.03117785909772,7.095469951629639,44537800,F
2016-01-25,7.188985447342601,7.19483028464234,6.972731483801503,7.001954555511475,96738600,F
2016-01-26,7.095471069179244,7.188986246797023,7.03702380447092,7.165607452392578,45969800,F
2016-01-27,7.280400422635673,7.31060966778057,7.0870615994243895,7.159564018249512,42064200,F
2016-01-28,7.268320030540799,7.286445932163049,6.766848276199365,7.074981689453125,75699800,F
2016-01-29,7.147481680936878,7.21394157409668,7.038728604681245,7.21394157409668,52137400,F
2016-02-01,7.201856646975731,7.334776980473788,7.087061630165863,7.292483806610107,37301200,F
2016-02-02,7.219984173163655,7.298528004440135,6.917892780343472,6.95414400100708,55649200,F
2016-02-03,7.050812376887987,7.05685434236449,6.658093840011922,6.923933982849121,69454600,F
2016-02-04,6.8695560244015725,7.062894270093057,6.8030961464934805,6.9662251472473145,40223100,F
2016-02-05,6.960186120630941,7.068938632632688,6.8997676102571575,6.917892932891846,33322200,F
2016-02-08,6.881642157283051,7.06289653258418,6.797056359600545,7.00247859954834,45274500,F
2016-02-09,6.929975222961699,7.014560426005008,6.778929559020384,6.857473373413086,48956800,F
2016-02-10,6.923935628334904,6.990395535790135,6.845391787054897,6.851433753967285,38160300,F
2016-02-11,6.748720645904542,6.9058082824855545,6.70642804228408,6.748720645904541,45801300,F
2016-02-12,6.797055652386296,6.996435905427477,6.754763046042272,6.978310585021973,28085000,F
2016-02-16,7.099149008359474,7.177692853765419,6.966228610272973,7.1716508865356445,41072100,F
2016-02-17,7.244149469891015,7.431446335470762,7.238107505409277,7.413321018218994,37766400,F
2016-02-18,7.491865658957655,7.516032945230672,7.322694655046543,7.407280445098877,28784700,F
2016-02-19,7.364987689982625,7.383113587885917,7.256235183530819,7.310611724853516,26479300,F
2016-02-22,7.310611231216593,7.58853530883789,7.310611231216593,7.588535308837891,33549700,F
2016-02-23,7.570410497964945,7.642912366500552,7.503950595855714,7.503950595855713,30136700,F
2016-02-24,7.316653995155657,7.316653995155657,7.00852118423389,7.298528671264648,60608400,F
2016-02-25,7.316653929850275,7.491866929082561,7.280403282391817,7.485825538635254,32024800,F
2016-02-26,7.564368915509935,7.606661527032578,7.491866472623095,7.5341596603393555,30228800,F
2016-02-29,7.503949705357035,7.642911459511191,7.485824384422485,7.558326244354248,32999100,F
2016-03-01,7.860418340497477,7.926878240849729,7.685205352120073,7.908752918243408,71523900,F
