Price,Close,High,Low,Open,Volume
Ticker,PFE,PFE,PFE,PFE,PFE
Date,,,,,
2016-01-04,20.041969299316406,20.092152437463568,19.80359876258089,19.979239746095963,39322421
2016-01-05,20.18624496459961,20.22388294656094,20.02942298226418,20.18624496459961,28777994
2016-01-06,19.828693389892578,20.010608239538048,19.70950810314252,19.903968108723166,27242316
2016-01-07,19.696962356567383,19.9541519337975,19.533866496346494,19.546411652708677,39223134
2016-01-08,19.446043014526367,19.841236830564142,19.39585987297761,19.791053689015385,34840286
2016-01-11,19.489948272705078,19.571496801325825,19.220213645044826,19.540131400591974,40717917
2016-01-12,19.446043014526367,19.759689540815682,19.270402019105724,19.68441482849255,40927031
2016-01-13,19.05084991455078,19.621686008538216,18.98812161579361,19.502500727611853,42762888
2016-01-14,19.51504135131836,19.709502563314192,19.063391904208565,19.063391904208565,40603031
2016-01-15,19.326860427856445,19.333134267227987,18.944212974488206,18.95675813108481,49299269
2016-01-19,19.2515811920166,19.590317995742073,19.025755815484324,19.521317128489763,34508276
2016-01-20,19.23276138305664,19.489950893870443,18.856386612214283,18.950480304924874,52142223
2016-01-21,19.18257713317871,19.383310921125002,19.138666577656934,19.201396122841306,38528548
2016-01-22,19.264135360717773,19.60287358403566,19.239045041664824,19.44605026243996,33142398
2016-01-25,19.132394790649414,19.38958429711943,19.08221165686105,19.339401163331065,30313251
2016-01-26,19.23903465270996,19.28921778586437,19.032028282643395,19.15121227808047,27360786
2016-01-27,19.144941329956055,19.45231399247307,19.019483486400016,19.26412659660253,30059131
2016-01-28,18.9442081451416,19.264125950752153,18.561559528246708,19.257853374052885,51419917
2016-01-29,19.126123428344727,19.126123428344727,18.768566370526937,19.057120038664216,59794263
2016-02-01,18.92538833618164,19.06966516046791,18.69956297403704,19.03202844082572,50036858
2016-02-02,18.906570434570312,19.032029536796557,18.536468226826884,18.92538942601154,50815553
2016-02-03,18.79885482788086,19.052294347747626,18.463048196464246,18.950919049301337,47403334
2016-02-04,18.374351501464844,18.748174655761627,18.209615938914645,18.68481570583955,60009068
2016-02-05,18.39336395263672,18.640466716772135,18.272980391423076,18.387028310928596,41033906
2016-02-08,18.095558166503906,18.36167019639794,17.899143236225715,18.171590902902693,50082391
2016-02-09,18.43770980834961,18.5010700254363,17.956175724994765,18.03854286083118,60214809
2016-02-10,18.6848087310791,18.944582621542697,18.57076088053955,18.583432156293345,47121389
2016-02-11,18.45671844482422,18.589773248030024,18.30465417490857,18.38068694674212,41780771
2016-02-12,18.60245132446289,18.615123881448213,18.361684205508254,18.5327554454232,34300533
2016-02-16,18.887561798095703,18.906569987958168,18.659466067248648,18.722826275539774,34329307
2016-02-17,18.773515701293945,19.052299115537124,18.748171870340144,19.00794709293013,41224259
2016-02-18,18.722827911376953,19.033292067503243,18.665804610558617,18.893899087583325,50788993
2016-02-19,18.6848087310791,18.78618403211378,18.48839249313556,18.754503295227135,41870045
2016-02-22,19.039628982543945,19.052301536506825,18.786190640801607,18.849549589361427,41458458
2016-02-23,18.982603073120117,19.248713932363202,18.976267433882544,19.04596328674994,33697118
2016-02-24,19.020618438720703,19.058633545864257,18.703818661267153,18.887562379340057,33322210
2016-02-25,19.381771087646484,19.445131304835616,19.020620524546434,19.07130818879717,54850265
2016-02-26,19.153671264648438,19.578183228702702,19.02061649263253,19.502150474692293,45244004
2016-02-29,18.79885482788086,19.121990183867208,18.735495903227456,19.064966896928937,37091841
2016-03-01,19.03329086303711,19.06497033107018,18.7671787460547,18.87489097536919,33114256
2016-03-02,18.995281219482422,19.10932912810282,18.84955255784141,19.07764837508221,36139763
2016-03-03,18.938247680664062,19.00794224268959,18.74183144870226,18.931910769229074,38881955
2016-03-04,18.824199676513672,18.96992698453469,18.710151830399084,18.91290242460188,38827884
2016-03-07,18.87489128112793,18.88756255904591,18.577099691288456,18.722827029853047,33934900
2016-03-08,18.60245132446289,18.84955408503427,18.60245132446289,18.84955408503427,34566879
2016-03-09,18.84320831298828,18.912904154558305,18.64045642648881,18.830537036567087,81054603
2016-03-10,18.7481689453125,18.957256473373736,18.710153841688474,18.94458392299828,61264172
2016-03-11,19.324745178222656,19.324745178222656,18.83687424652459,18.868553713972062,63638517
2016-03-14,19.071308135986328,19.223372402068872,18.97626844734152,19.17902037753444,49289572
2016-03-15,18.716493606567383,18.963596292733243,18.564429337291013,18.931916820436747,57622391
2016-03-16,18.399686813354492,18.70381396286249,18.291975884128288,18.70381396286249,96151572
2016-03-17,18.589767456054688,18.741831678592003,18.209608810337986,18.450375782791756,70483510
2016-03-18,18.659469604492188,18.786190045096614,18.48206277089807,18.69115035151904,86327765
2016-03-21,19.052297592163086,19.083978333635752,18.653130694367896,18.659466333161923,37124304
2016-03-22,19.248716354370117,19.36276424375355,18.938254707648216,19.026957489389538,42880725
2016-03-23,19.12833023071289,19.394441069628908,19.071305660676504,19.280393203307398,42985704
2016-03-24,19.058631896972656,19.18535230649115,18.93191276120534,19.083976997877297,33669714
2016-03-28,18.868553161621094,19.147336543001842,18.843209333654773,19.064969420549104,32850545
2016-03-29,19.039628982543945,19.128334312781057,18.824207028938723,18.893901617604218,36464395
2016-03-30,19.052297592163086,19.14100163028452,19.014282485647662,19.10298525001783,33824546
2016-03-31,18.77985382080078,19.11566055782506,18.697485409595892,19.045964699786865,59861719
2016-04-01,19.03329086303711,19.115657989423607,18.634123961314774,18.653130877883854,50975340
2016-04-04,19.46413803100586,19.483146222105727,19.045962921814045,19.064971112913916,54762573
2016-04-05,19.869640350341797,20.116744284179205,19.3754337564183,19.774600669731562,299829377
2016-04-06,20.864389419555664,20.908741440855735,19.97735281480819,19.983688453922106,158517384
2016-04-07,20.756677627563477,20.95942826109199,20.591942100945918,20.62362156899693,64692412
2016-04-08,20.59194564819336,20.84538398376226,20.452553926754717,20.80103323035133,55597973
2016-04-11,20.20545196533203,20.636298452366663,20.19278068417011,20.60461897571023,87735803
2016-04-12,20.249797821044922,20.36384568547762,20.14842250766085,20.21178271540151,45178972
2016-04-13,20.617290496826172,20.66164252617224,20.24980298153106,20.24980298153106,38429156
2016-04-14,20.686983108520508,20.76935024024785,20.484231188208692,20.579270872221745,33682467
2016-04-15,20.59194564819336,20.76935248309159,20.46522520665741,20.686985342469573,37179112
2016-04-18,20.661640167236328,20.82004007199472,20.45888823819553,20.59194431104275,38997262
2016-04-19,20.839048385620117,21.035463414517956,20.744008691153226,20.782025078440583,29954996
2016-04-20,21.054468154907227,21.162180385387284,20.813701138247442,20.813701138247442,36981593
2016-04-21,21.060806274414062,21.21286925983338,20.9340858461466,20.946758398473893,36025298
2016-04-22,21.079814910888672,21.225542260095395,20.95309447994696,21.067142358293946,27548714
2016-04-25,21.04180145263672,21.079817841955546,20.908745363772404,20.991113782712667,25569513
2016-04-26,20.94042205810547,21.11783015303106,20.8580549238553,21.035461745029494,30293330
2016-04-27,20.908748626708984,21.04180473633751,20.845388392540386,20.896077344126326,27503603
2016-04-28,20.851716995239258,21.02278815817159,20.750340406231985,20.88973210158463,34818995
2016-04-29,20.725000381469727,20.877063372919007,20.54759228436082,20.82637570910258,36061134
2016-05-02,20.782020568847656,20.908739709388932,20.59194122116013,20.629957600198125,40122407
2016-05-03,21.352262496948242,21.523334959994582,21.06714342353962,21.32058302448666,75396414
2016-05-04,21.162181854248047,21.47898165500099,21.117829831192577,21.333253033353863,38021364
2016-05-05,21.269895553588867,21.371272159145782,21.098823088977845,21.143175115080595,25047467
2016-05-06,21.27623176574707,21.28256740571748,21.035463435604957,21.149511323829852,24422234
2016-05-09,21.428293228149414,21.516997271095928,21.238212590227743,21.25088514225639,33182766
2016-05-10,21.415618896484375,21.45997091690994,21.212868258826155,21.434628360953965,26125498
2016-05-11,21.19826889038086,21.453976795750037,21.19187522887806,21.39005046198679,32037384
2016-05-12,21.21744728088379,21.274981238238095,21.044842838504692,21.236624409896496,26746515
2016-05-13,21.21744728088379,21.383656776609136,21.18548282887976,21.30694440508403,21622494
2016-05-16,21.33890724182129,21.370871693330834,20.974522518845436,21.051234889183817,23239224
2016-05-17,21.11516571044922,21.31334097033633,21.044845705681198,21.268591759560476,33175177
2016-05-18,21.204662322998047,21.338908658714583,21.076807078786484,21.102379155755322,21034889
2016-05-19,21.33890724182129,21.370871693330834,21.07041330305793,21.198268538779963,28095740
2016-05-20,21.569042205810547,21.671325343891482,21.383651769012715,21.40283017869234,36437939
2016-05-23,21.5242919921875,21.67771798636086,21.51150724234844,21.62657641668901,25126833
2016-05-24,21.799182891845703,21.850327042722544,21.537082612761715,21.537082612761715,29890808
2016-05-25,21.95899772644043,21.9909596007786,21.78000094888432,21.81196539353808,22152761
2016-05-26,22.010143280029297,22.15078326352302,21.90146774697562,21.90146774697562,26656292
2016-05-27,22.125207901000977,22.21470629267958,21.97817556333346,21.97817556333346,21569056
2016-05-31,22.182743072509766,22.214707519965383,21.978176777551756,22.163565946225884,34547274
2016-06-01,22.214706420898438,22.336169258967793,22.131600403814964,22.18274197502425,24361207
2016-06-02,22.291419982910156,22.368131054291077,22.067674003224813,22.17634952036526,31807717
2016-06-03,22.17635154724121,22.297814395976346,22.022926820140967,22.291422020303326,28377580
2016-06-06,22.329776763916016,22.368133589111018,22.1316028324438,22.182744409265144,21526791
2016-06-07,22.272245407104492,22.368136196110054,22.214711447764408,22.272245407104492,24776905
2016-06-08,22.53434181213379,22.58548338026437,22.163563515450427,22.22748983303477,23703195
2016-06-09,22.57270622253418,22.694166523825896,22.3937093887186,22.406494142472173,25440187
2016-06-10,22.559913635253906,22.623842529739992,22.387311788899385,22.444845737684226,21645366
2016-06-13,22.208316802978516,22.47041963699274,22.18274472904122,22.387313609591548,31296000
2016-06-14,22.368131637573242,22.39370370891083,22.106031400520624,22.11881615103155,33410430
2016-06-15,22.24028205871582,22.495989955774505,22.150783652166258,22.38092204467712,21372696
2016-06-16,22.214706420898438,22.240278491660924,22.003747760949594,22.16995722480085,23540563
2016-06-17,21.875896453857422,22.253067215319593,21.773613293175504,22.233887516244142,35423464
2016-06-20,22.054889678955078,22.182742323830837,21.850323390901288,22.042102358214922,23814919
2016-06-21,22.214706420898438,22.297812437981907,22.06128170727058,22.06128170727058,26725962
2016-06-22,22.035717010498047,22.342569110753843,21.99736274699305,22.208321477536717,26515583
2016-06-23,22.1124267578125,22.20831754020754,21.92703756913995,22.182745465421352,25111339
2016-06-24,21.716081619262695,22.022931133562874,21.56904923903764,21.60740350058785,46376211
2016-06-27,21.607402801513672,21.72247329339062,21.434799634014578,21.607402801513672,31359662
2016-06-28,22.01654052734375,22.0357176596612,21.684118908291616,21.831151300341922,25068547
2016-06-29,22.380922317504883,22.47042072514545,22.099642342153423,22.131604223227818,26206761
2016-06-30,22.508777618408203,22.547134450505524,22.336175729444896,22.4640284093474,28451465
2016-07-01,22.73891258239746,22.79005416064381,22.451240240893224,22.47041993918313,20371290
2016-07-05,22.892337799072266,22.962659077088947,22.662201977276826,22.719735932725687,21972843
